laestab,absence_perc,year,urn,spend_per_pupil,ave_class_size_ks1,ave_class_size_ks2
8162013,2.7,2016,132047,3434,29.3,28.5
8163901,4.2,2015,121661,5056,23.7,27.5
8163152,2.9,2016,121531,4083,30,28
8163402,4.7,2015,121647,4760,27.3,25.8
8163159,3.2,2015,121537,5259,18.5,24.5
8162002,3.3,2014,121272,4349,NA,25.2
8162003,4.6,2016,121273,4765,26.7,NA
8163229,2.9,2015,121553,3767,NA,31.1
8162011,3.3,2015,NA,NA,29.5,29
8164063,4.5,2016,121673,5094,NA,NA
8162017,5.3,2015,133374,4352,26.3,29.4
8164703,6.6,2017,133946,6567,NA,NA
8163403,3.5,2017,121648,4090,29.7,28.8
8164508,5.5,2014,121711,4961,NA,NA
8163904,3.4,2014,136435,3720,30,27.9
8162429,3.6,2016,121468,5565,26.3,20.3
8162011,3.4,2017,NA,NA,29.5,29.9
8162009,5.3,2014,NA,NA,25.3,16.8
8163904,4.2,2015,136435,3738,30,29.8
8162029,2.7,2017,NA,NA,31.2,31.8
8163401,3.7,2014,121646,4177,29.3,24.7
8162240,3.2,2017,121366,3678,28,27.5
8164229,4.2,2014,NA,NA,NA,NA
8162241,2.5,2014,121367,3092,26,29.5
8162008,4,2016,121277,3986,29.7,29
8162012,3.4,2015,121280,4370,29,29.8
8162241,2.6,2016,121367,3651,25.6,29.8
8162349,3.3,2017,121412,5461,23,25
8162017,5,2016,133374,4661,28.1,27.3
8163152,2.4,2015,121531,4233,33,26.7
8163904,4.1,2017,136435,3724,27.8,29.3
8162058,3.3,2016,121299,3368,29.6,29
8164063,4.8,2017,121673,4921,NA,NA
8162015,4.6,2017,132228,4034,27.3,25.4
8163401,4.1,2015,121646,4491,27.3,25.8
8162349,2.3,2015,121412,6195,16.5,21.5
8162386,2.9,2015,121440,3964,30.8,NA
8164702,6.1,2016,121720,4588,NA,NA
8162428,4.4,2016,121467,3960,25.4,30.5
8163003,3,2014,121474,3927,25,23.3
8164702,4.7,2014,121720,4771,NA,NA
8162017,5.2,2014,133374,4250,26.6,29.4
8162227,3.3,2015,121360,5126,26,19
8162002,3.8,2016,121272,4562,NA,24.3
8163402,4.6,2016,121647,4906,25.3,26.3
8162000,3,2014,121271,3575,29,29
8162428,3.9,2015,121467,3795,24.2,25.3
8162169,4.1,2016,121335,6414,14,24
8162431,5,2017,NA,NA,29,27
8162180,3.5,2016,NA,NA,28.7,29.8
8163158,2.8,2014,121536,3657,30,29.8
8163222,3.6,2015,121547,4536,NA,30.5
8164003,5.7,2017,121662,5726,NA,NA
8162227,4.2,2014,121360,5379,NA,13
8163302,2.8,2014,NA,NA,30,27.7
8162002,3.4,2015,121272,4522,NA,23.8
8162000,3.4,2016,121271,3827,25.8,26.6
8163158,3.6,2017,121536,4003,29.3,28
8162028,4.9,2015,133609,5532,24.4,23.3
8164227,5.7,2014,NA,NA,NA,NA
8162014,3.2,2014,121281,3630,29,27.7
8164703,7.6,2015,133946,6319,NA,NA
8164500,5.1,2015,NA,NA,NA,NA
8164703,6.9,2014,133946,6578,NA,NA
8163302,4.2,2017,NA,NA,30,27.7
8163380,2.5,2016,121644,3751,30.7,32.8
8167033,8,2014,134728,28856,NA,NA
8164702,5.7,2017,121720,4799,NA,NA
8162012,5.2,2017,121280,4364,29.3,30.2
8164500,4.4,2016,NA,NA,NA,NA
8162012,3.7,2014,121280,4202,26.3,30.4
8163401,4.8,2017,121646,4228,27,29.8
8162029,2.4,2016,NA,NA,30.6,31.9
8162180,3.2,2014,NA,NA,26.7,32.3
8163904,4.2,2016,136435,3958,28.4,29.5
8164153,5,2017,121684,4862,NA,NA
8164003,5.8,2016,121662,6406,NA,NA
8162016,3.3,2016,NA,NA,29.3,29.8
8162000,3.2,2015,121271,3671,26.4,29.5
8162020,6.1,2017,NA,NA,NA,NA
8162018,4.6,2017,121283,4681,26.5,26.4
8164702,5.8,2015,121720,4701,NA,NA
8162027,4.3,2016,121290,3874,26.2,26.9
8163158,3.4,2015,121536,3838,29.3,30
8167033,8,2017,134728,27230,NA,NA
8162227,3.5,2017,121360,5412,NA,19.5
8162024,5,2015,121287,5547,24,22.7
8162007,3.5,2017,121276,3770,27.2,30.6
8162176,4.2,2016,121339,4028,21.8,23.5
8162431,4,2015,NA,NA,28.3,21
8162004,4.5,2014,NA,NA,NA,NA
8167033,7,2015,134728,24681,NA,NA
8164153,4.1,2014,121684,4767,NA,NA
8163002,4.8,2016,121473,6055,24.7,25.3
8162029,2.4,2015,NA,NA,29.8,31
8163229,3.2,2017,121553,3681,NA,31.4
8163156,3,2014,121535,4467,24.6,25.4
8163212,3.5,2016,NA,NA,29.4,28.4
8162017,4.9,2017,133374,4107,26.6,26
8162240,2.9,2014,121366,3289,30,28.8
8163152,3.6,2017,121531,4461,27.5,31
8167032,7.5,2017,134727,21709,NA,NA
8162028,5.4,2017,133609,5346,26.2,29.7
8164602,4,2017,NA,NA,NA,NA
8162024,5.1,2016,121287,6159,25.3,20
8162027,5.4,2017,121290,3871,28,27
8162349,2.7,2014,121412,5847,16.5,21
8163901,4.1,2016,121661,5076,25.7,22.4
8162016,3.8,2017,NA,NA,26.8,29.7
8162015,3.9,2014,132228,3667,26,27.7
8162013,2.9,2015,132047,3226,28.5,29
8162014,4.5,2016,121281,4018,26.2,28.9
8162386,3,2016,121440,4178,30.3,NA
8163222,4.5,2017,121547,4745,28,33
8164063,3.9,2014,121673,4799,NA,NA
8163302,3.6,2015,NA,NA,30,25.3
8162227,3.3,2016,121360,5533,NA,17.5
8163402,4.6,2017,121647,4391,25,25.3
8162386,2.9,2017,121440,4114,29,NA
8164500,4.6,2014,NA,NA,NA,NA
8164500,4.8,2017,NA,NA,NA,NA
8162058,2.9,2014,121299,3220,28.6,34
8163002,4.7,2017,121473,6148,25.7,26
8163380,2.3,2014,121644,3571,30.7,30.8
8163212,2.8,2014,NA,NA,27.4,27.5
8162016,2.9,2015,NA,NA,22.2,29.5
8162008,3.7,2015,121277,4104,28.7,25.4
8162018,4,2015,121283,5261,24.7,22
8162430,3.8,2017,136133,3341,29.3,27.6
8167032,5.1,2016,134727,21703,NA,NA
8163901,4.3,2017,121661,4703,24.7,28.5
8164000,6.7,2017,NA,NA,NA,NA
8163222,2.6,2014,121547,4454,24,30.5
8164508,6.1,2015,121711,4869,NA,NA
8162176,4.4,2015,121339,6357,21.7,23
8163158,3.6,2016,121536,4151,29,28
8164063,4.4,2015,121673,4909,NA,NA
8163156,3.9,2017,121535,5292,26.4,27
8162058,3.2,2015,121299,3461,28.4,33.8
8162180,3.4,2015,NA,NA,28.3,29.4
8162430,3.2,2015,136133,3232,29.3,24.8
8163402,4.6,2014,121647,4396,26.3,27.3
8164602,3.6,2014,NA,NA,NA,NA
8162003,4.2,2015,121273,4526,27.3,NA
8162429,4.6,2014,121468,5760,26,19.7
8162008,4.2,2017,121277,3984,29,25
8163380,3.1,2015,121644,3723,31.7,30.5
8164003,6.2,2014,121662,6209,NA,NA
8162018,4.1,2014,121283,4775,23.3,24
8163229,2.8,2016,121553,3873,NA,31
8162431,3.5,2014,NA,NA,26.7,29
8162001,2.9,2015,NA,NA,30,29.3
8162027,4.2,2014,121290,3965,26.2,28
8162180,4.3,2017,NA,NA,28.8,31.4
8163302,4.2,2016,NA,NA,27,27.7
8162029,2.6,2014,NA,NA,30.2,31.8
8162002,4,2017,121272,4888,NA,23
8164229,5,2015,NA,NA,NA,NA
8162013,2.7,2014,132047,3155,26.3,31.3
8162428,3.7,2017,121467,3980,29.5,26.8
8163901,3.8,2014,121661,4637,27,25
8163002,4.1,2015,121473,6524,21.3,26.3
8162007,3,2014,121276,3446,28.2,31
8163003,3.3,2015,121474,4096,25.7,23
8162004,4.8,2017,NA,NA,17.4,21.8
8162058,3.2,2017,121299,3392,29.3,29.8
8162008,3.4,2014,121277,3989,26.3,29
8164703,7.2,2016,133946,6744,NA,NA
8162169,3.3,2014,121335,4953,30,29.5
8162024,4.9,2014,121287,5096,23.7,24.3
8162007,3.4,2016,121276,3861,27,30.2
8162013,2.7,2017,132047,3458,29.3,27.3
8162003,4.5,2017,121273,4329,27.9,NA
8163003,3.7,2017,121474,4007,25,24.3
8162018,4.3,2016,121283,4549,24.5,27.6
8163305,5.3,2017,NA,NA,27,27.3
8163159,3.2,2016,121537,5566,11.3,23.5
8164153,4.1,2015,121684,4676,NA,NA
8162240,2.8,2016,121366,3767,26.8,28.5
8162241,3.3,2017,121367,3618,24.6,29.3
8163212,3.1,2015,NA,NA,27.4,28.5
8163002,4.5,2014,121473,5494,24.7,25.3
8162028,4.7,2016,133609,5479,25,24.8
8162011,3.3,2014,NA,NA,28.8,29.6
8163151,2.9,2015,121530,3427,27.7,34.8
8164508,4.6,2017,121711,5224,NA,NA
8167033,7.9,2016,134728,27662,NA,NA
8162004,5.4,2016,NA,NA,16,20.4
8162004,4.9,2015,NA,NA,26,20.8
8162007,3.5,2015,121276,3712,29,32
8163151,2.4,2016,121530,3703,22.8,31.6
8162015,4.8,2016,132228,4078,27.8,25.3
8162012,3.4,2016,121280,4326,28.3,30.2
8162028,5.2,2014,133609,5009,26.4,23.8
8164229,5.4,2017,NA,NA,NA,NA
8163159,2.7,2017,121537,5289,NA,26.5
8162169,3.8,2017,121335,6147,15.5,22
8163159,2,2014,121537,5119,17,26
8162001,3,2017,NA,NA,30.3,30.4
8163403,3.8,2015,121648,3879,29.3,30.2
8163003,3.7,2016,121474,4144,25.7,23.8
8162014,4,2015,121281,3842,25.8,29.3
8163401,4.1,2016,121646,4251,25.3,28.8
8162430,3.1,2014,136133,3216,29.2,26.2
8164153,4.3,2016,121684,4710,NA,NA
8162431,4.3,2016,NA,NA,29.3,26.5
8162014,4.7,2017,121281,3991,27.3,27.8
8163151,2.8,2017,121530,3921,23.7,26.3
8163151,2.4,2014,121530,3798,27,31.5
8162016,2.9,2014,NA,NA,27.2,30.2
8163305,4.9,2015,121607,5025,28.3,30
8163305,6.1,2016,121607,4864,29.7,30.7
8167032,6.3,2015,134727,22035,NA,NA
8164602,3.8,2016,NA,NA,NA,NA
8162011,3.3,2016,NA,NA,29.8,29.4
8162027,4.8,2015,121290,4024,25.5,28.9
8163156,3.5,2015,121535,4863,25,26
8162176,3.6,2017,121339,4579,28.3,25.6
8162430,3.2,2016,136133,3426,29.2,27.4
8167032,5.9,2014,134727,22979,NA,NA
8164602,3.6,2015,NA,NA,NA,NA
8162349,2.6,2016,121412,5338,18,24.5
8163156,3.2,2016,121535,5120,25.5,31.2
8162429,4.3,2017,121468,5519,28.3,26.5
8164003,6.2,2015,121662,6464,NA,NA
8163229,2.4,2014,121553,3554,NA,30.4
8162169,3.7,2015,121335,5723,16.7,25
8162428,3.4,2014,121467,3688,23.2,27.6
8162001,2.9,2016,NA,NA,30.3,30.1
8162176,4.3,2014,121339,4719,21.3,22.8
8163305,4.3,2014,121607,4866,30.3,27
8162429,5.8,2015,121468,5202,25.5,23.5
8163222,3.5,2016,121547,4636,26,30.5
8163403,3.1,2016,121648,3948,30,29.4
8164229,5,2016,NA,NA,NA,NA
8162386,2.7,2014,121440,3712,30.3,NA
8162000,3.2,2017,121271,4259,29.6,28.8
8162024,6.6,2017,NA,NA,25.3,22.5
8163212,3.7,2017,NA,NA,29.2,28.5
8162003,4.8,2014,121273,4198,26.9,NA
8163403,2.8,2014,121648,3602,29.7,30.8
8162015,4.3,2015,132228,3952,24.8,26.9
